94.790001,97.339996,94.349998
93.790001,94.519997,92.389999
96.040001,96.629997,93.339996
99.93,100.879997,98.07
101.519997,101.529999,99.209999
98.629997,101.459999,98.370003
97.059998,97.879997,94.940002
95.099998,98.190002,93.419998
98.410004,98.650002,95.5
96.199997,97.709999,95.360001
97.959999,100.480003,95.739998
100.32,101.190002,97.300003
100.550003,100.690002,98.839996
98.970001,99.059998,97.339996
98.550003,99.110001,96.760002
98.68,100.129997,96.43
100.559998,102.370003,99.870003
105.75,105.849998,102.410004
102.610001,105.370003,102
